# Data projected on timecurve 
# Timecurve fitted to the datapoints from the time series
# Timecurve: 0.378942060769105*x**2 + 2.90486137079659*x + 3.41704476651543
# Gene 				 PC1 		 PC2 	 x on curve		y on curve 
Apex1 		      -0.00 	   -7.64 	   -3.11 	      -1.95 
Bard1 		      -4.98 	    1.30 	   -6.50 	       0.55 
Bptf 		      -0.26 	   -2.40 	   -2.09 	      -1.00 
Brca1 		      -4.09 	    3.18 	   -7.13 	       1.96 
Brd8 		      -1.98 	   -5.69 	   -3.34 	      -2.06 
Cbx4 		      -2.11 	   -2.88 	   -2.88 	      -1.81 
Cbx7 		      -0.52 	   -7.25 	   -3.17 	      -1.98 
Cdk1 		      -2.68 	   -1.26 	   -2.48 	      -1.46 
Eny2 		       2.94 	   -9.17 	   -2.81 	      -1.75 
Ep300 		      -3.27 	   -2.50 	   -3.40 	      -2.08 
Hat1 		       2.64 	  -11.97 	   -3.08 	      -1.94 
Hdac1 		       0.92 	   -0.00 	   -1.00 	       0.89 
Irx1 		      -1.48 	   -7.10 	   -3.34 	      -2.06 
Jarid2 		      -2.18 	   -1.67 	   -2.44 	      -1.42 
Kmt2d 		      -0.07 	   -8.10 	   -3.17 	      -1.98 
Kmt2e 		      -1.33 	   -8.43 	   -3.40 	      -2.08 
Mock 		      -1.30 	   -4.43 	   -2.97 	      -1.87 
Mtf1 		      -0.75 	   -4.75 	   -2.88 	      -1.80 
Myc 		      -1.72 	   -3.18 	   -2.82 	      -1.76 
Ncor1 		      -1.17 	  -10.66 	   -3.48 	      -2.10 
nt 		       1.45 	  -11.12 	   -3.17 	      -1.98 
p53 		      -0.39 	    0.67 	   -0.98 	       0.94 
Phf1 		      -0.45 	   -9.04 	   -3.30 	      -2.04 
Pou5f1 		      -0.39 	   -7.63 	   -3.18 	      -1.99 
Prkdc 		       2.30 	   -5.49 	   -2.36 	      -1.33 
Prmt2 		      -0.02 	   -9.22 	   -3.24 	      -2.02 
Prmt5 		      -3.36 	   -4.07 	   -3.64 	      -2.14 
Prmt7 		      -2.85 	   -6.11 	   -3.59 	      -2.13 
Set 		      -0.57 	   -2.36 	   -2.16 	      -1.10 
Setdb1 		       2.14 	   -7.61 	   -2.74 	      -1.70 
Tdrd3 		      -0.71 	   -7.64 	   -3.24 	      -2.02 
Tdrd7 		       3.61 	  -11.06 	   -2.90 	      -1.82 
Tead2 		       1.15 	   -3.32 	   -2.05 	      -0.95 
Wdr5 		      -5.12 	    6.93 	   -8.46 	       5.98 
Day03 		     -11.01 	   15.38 	  -10.65 	      15.45 
Day04 		      -5.91 	    3.40 	   -7.46 	       2.84 
Day05 		      -3.87 	   -3.04 	   -3.86 	      -2.15 
Day06 		      -1.92 	    5.40 	    0.41 	       4.68 
Day07 		       5.18 	   19.11 	    3.70 	      19.36 
